response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL AF,2 - 200,Chr,2X,8,2,CV,med_neg,DV,-0.11582066872952,0.00754599282974136,Inf,-15.3486322267668,3.61732894476685e-53
QTL AF,2 - 200,Peri,2X,8,2,CV,med_neg,DV,-0.111020947481518,0.00754599282974125,Inf,-14.7125699674598,5.35350150484498e-49
QTL AF,2 - 200,WT,2X,8,2,CV,med_neg,DV,-0.111107310718694,0.00754599282974149,Inf,-14.7240148812201,4.52008440378619e-49
QTL AF,2 - 200,Chr,20X,2,3,CV,med_neg,DV,-0.222928409769239,0.0075459928297411,Inf,-29.5426214679941,8.16885185559228e-192
QTL AF,2 - 200,Peri,20X,2,3,CV,med_neg,DV,-0.217637989332073,0.00754599282974135,Inf,-28.8415314250348,6.47079005529351e-183
QTL AF,2 - 200,WT,20X,2,3,CV,med_neg,DV,-0.213469399672947,0.0075459928297413,Inf,-28.2891071446015,4.70521269410095e-176
QTL AF,2 - 200,Chr,2X,2,3,CV,med_neg,DV,-0.216522016843789,0.00754599282974136,Inf,-28.6936420069737,4.57990465771537e-181
QTL AF,2 - 200,Peri,2X,2,3,CV,med_neg,DV,-0.21997457479232,0.0075459928297413,Inf,-29.1511772878085,8.07185877831265e-187
QTL AF,2 - 200,WT,2X,2,3,CV,med_neg,DV,-0.225142109770231,0.00754599282974142,Inf,-29.8359824677896,1.3344797535387e-195
QTL AF,2 - 200,Chr,20X,8,3,CV,med_neg,DV,-0.164554532686317,0.00754599282974165,Inf,-21.8068763645977,1.99650417906568e-105
QTL AF,2 - 200,Peri,20X,8,3,CV,med_neg,DV,-0.168751874723088,0.00754599282974157,Inf,-22.3631109292835,9.00145577840927e-111
QTL AF,2 - 200,WT,20X,8,3,CV,med_neg,DV,-0.176086393242137,0.00754599282974136,Inf,-23.3350862126611,1.95327871672577e-120
QTL AF,2 - 200,Chr,2X,8,3,CV,med_neg,DV,-0.169267383387082,0.00754599282974154,Inf,-22.4314264810771,1.9430645912783e-111
QTL AF,2 - 200,Peri,2X,8,3,CV,med_neg,DV,-0.170352974422615,0.00754599282974144,Inf,-22.5752897287675,7.58113126294643e-113
QTL AF,2 - 200,WT,2X,8,3,CV,med_neg,DV,-0.162741374602616,0.00754599282974142,Inf,-21.5665954466846,3.69939568644361e-103
QTL AF,2 - 200,Chr,20X,2,4,CV,med_neg,DV,-0.19430156476242,0.00754599282974214,Inf,-25.7489728848655,3.30994821731034e-146
QTL AF,2 - 200,Peri,20X,2,4,CV,med_neg,DV,-0.195774410856746,0.00754599282974138,Inf,-25.9441554310959,2.11652447942079e-148
QTL AF,2 - 200,WT,20X,2,4,CV,med_neg,DV,-0.202728947075025,0.00754599282974144,Inf,-26.8657752066763,5.51827774815478e-159
QTL AF,2 - 200,Chr,2X,2,4,CV,med_neg,DV,-0.187503080443221,0.00754599282974166,Inf,-24.8480332109778,2.71559841639781e-136
QTL AF,2 - 200,Peri,2X,2,4,CV,med_neg,DV,-0.195533019844098,0.00754599282974144,Inf,-25.912166133187,4.85703966388603e-148
QTL AF,2 - 200,WT,2X,2,4,CV,med_neg,DV,-0.180142381221374,0.00754599282974144,Inf,-23.8725884434145,5.9015376514363e-126
QTL AF,2 - 200,Chr,20X,8,4,CV,med_neg,DV,-0.0951478727379958,0.00754599282974162,Inf,-12.6090595213637,1.88225705920837e-36
QTL AF,2 - 200,Peri,20X,8,4,CV,med_neg,DV,-0.0907060047446011,0.00754599282974134,Inf,-12.0204202139045,2.77556338054885e-33
QTL AF,2 - 200,WT,20X,8,4,CV,med_neg,DV,-0.0990122729742417,0.00754599282974152,Inf,-13.1211724167028,2.49051865725996e-39
QTL AF,2 - 200,Chr,2X,8,4,CV,med_neg,DV,-0.0980763639808752,0.00754599282974154,Inf,-12.9971451330195,1.26996208056404e-38
QTL AF,2 - 200,Peri,2X,8,4,CV,med_neg,DV,-0.0961198838099311,0.00754599282974118,Inf,-12.7378710765655,3.6419773821956e-37
QTL AF,2 - 200,WT,2X,8,4,CV,med_neg,DV,-0.0899151801687856,0.00754599282974163,Inf,-11.9156196139487,9.81339191695308e-33
QTL AF,2 - 200,Chr,20X,2,5,CV,med_neg,DV,-0.245045154770877,0.00754599282974236,Inf,-32.4735472587566,2.52024839795448e-231
QTL AF,2 - 200,Peri,20X,2,5,CV,med_neg,DV,-0.239054961997219,0.00754599282974127,Inf,-31.6797229192988,2.95599770131701e-220
QTL AF,2 - 200,WT,20X,2,5,CV,med_neg,DV,-0.226784986242888,0.0075459928297414,Inf,-30.0536975530972,1.95345374495899e-198
QTL AF,2 - 200,Chr,2X,2,5,CV,med_neg,DV,-0.232745447479864,0.00754599282974158,Inf,-30.8435818494986,6.82945809929144e-209
QTL AF,2 - 200,Peri,2X,2,5,CV,med_neg,DV,-0.232931440365215,0.00754599282974137,Inf,-30.8682297506502,3.18966174687779e-209
QTL AF,2 - 200,WT,2X,2,5,CV,med_neg,DV,-0.263364227827755,0.00754599282974153,Inf,-34.9012030318582,7.12850378971122e-267
QTL AF,2 - 200,Chr,20X,8,5,CV,med_neg,DV,-0.200497550504829,0.00754599282974161,Inf,-26.5700690457314,1.50593902925815e-155
QTL AF,2 - 200,Peri,20X,8,5,CV,med_neg,DV,-0.178886983557248,0.0075459928297413,Inf,-23.7062223081096,3.11043628102122e-124
QTL AF,2 - 200,WT,20X,8,5,CV,med_neg,DV,-0.18366263791599,0.00754599282974135,Inf,-24.3390952072088,7.56334199751098e-131
QTL AF,2 - 200,Chr,2X,8,5,CV,med_neg,DV,-0.201222874263999,0.00754599282974139,Inf,-26.6661894338025,1.16166678220135e-156
QTL AF,2 - 200,Peri,2X,8,5,CV,med_neg,DV,-0.196220017199919,0.00754599282974122,Inf,-26.0032074807376,4.55531402387988e-149
QTL AF,2 - 200,WT,2X,8,5,CV,med_neg,DV,-0.18579891347542,0.00754599282974145,Inf,-24.6221958683979,7.30862662602121e-134
QTL AF,2 - 200,Chr,20X,2,1,GW,med_neg,DV,-0.01501490334988,0.00754599282974126,Inf,-1.98978500094796,0.0466146243910985
QTL AF,2 - 200,Chr,20X,8,1,GW,med_neg,DV,0.0312621614975347,0.00754599282974111,Inf,4.14288248119197,3.42967713575592e-05
QTL AF,2 - 200,Peri,20X,8,1,GW,med_neg,DV,0.0321822112407377,0.00754599282974134,Inf,4.26480808647162,2.00074097985644e-05
QTL AF,2 - 200,WT,20X,8,1,GW,med_neg,DV,0.0339629177830936,0.00754599282974146,Inf,4.50078850449388,6.77018441557863e-06
QTL AF,2 - 200,Chr,2X,8,1,GW,med_neg,DV,0.0344596557698272,0.00754599282974134,Inf,4.56661655362432,4.95659490959026e-06
QTL AF,2 - 200,Peri,2X,8,1,GW,med_neg,DV,0.0343290035225153,0.00754599282974141,Inf,4.54930243071695,5.38240410588067e-06
QTL AF,2 - 200,WT,2X,8,1,GW,med_neg,DV,0.0349864085347513,0.00754599282974148,Inf,4.63642218116842,3.5449156582937e-06
QTL AF,2 - 200,Chr,20X,2,2,GW,med_neg,DV,-0.115827832023038,0.00754599282974168,Inf,-15.3495815111984,3.5647855319533e-53
