response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,2 - 200,WT,2X,2,3,CV,positive_QTL,DV,0.260363876746204,0.00576834677914853,Inf,45.1366546975591,0
QTL fixation,2 - 200,Chr,20X,8,3,CV,positive_QTL,DV,0.287121698618706,0.00576834677914851,Inf,49.7753879251153,0
QTL fixation,2 - 200,Peri,20X,8,3,CV,positive_QTL,DV,0.275053308951315,0.00576834677914848,Inf,47.6832131427297,0
QTL fixation,2 - 200,WT,20X,8,3,CV,positive_QTL,DV,0.261422395382001,0.00576834677914846,Inf,45.3201593785929,0
QTL fixation,2 - 200,Chr,2X,8,3,CV,positive_QTL,DV,0.26086152794971,0.00576834677914848,Inf,45.2229274586397,0
QTL fixation,2 - 200,Peri,2X,8,3,CV,positive_QTL,DV,0.279012232147728,0.00576834677914851,Inf,48.3695316578927,0
QTL fixation,2 - 200,WT,2X,8,3,CV,positive_QTL,DV,0.262164706140141,0.00576834677914844,Inf,45.4488462947167,0
QTL fixation,2 - 200,Chr,20X,2,4,CV,positive_QTL,DV,0.420687407097357,0.00576834677914856,Inf,72.9303253088144,0
QTL fixation,2 - 200,Peri,20X,2,4,CV,positive_QTL,DV,0.426231193677294,0.00576834677914853,Inf,73.8913955759453,0
QTL fixation,2 - 200,WT,20X,2,4,CV,positive_QTL,DV,0.408411404663846,0.00576834677914849,Inf,70.8021587988049,0
QTL fixation,2 - 200,Chr,2X,2,4,CV,positive_QTL,DV,0.40731132625745,0.00576834677914848,Inf,70.6114493202465,0
QTL fixation,2 - 200,Peri,2X,2,4,CV,positive_QTL,DV,0.416823887958318,0.00576834677914857,Inf,72.2605460311531,0
QTL fixation,2 - 200,WT,2X,2,4,CV,positive_QTL,DV,0.401238900854,0.00576834677914852,Inf,69.5587342814414,0
QTL fixation,2 - 200,Chr,20X,8,4,CV,positive_QTL,DV,0.512402985309829,0.00576834677914845,Inf,88.8301284454802,0
QTL fixation,2 - 200,Peri,20X,8,4,CV,positive_QTL,DV,0.502762627804063,0.00576834677914851,Inf,87.1588770670751,0
QTL fixation,2 - 200,WT,20X,8,4,CV,positive_QTL,DV,0.487279304163566,0.00576834677914847,Inf,84.4746896849186,0
QTL fixation,2 - 200,Chr,2X,8,4,CV,positive_QTL,DV,0.498051663573949,0.00576834677914855,Inf,86.3421847962244,0
QTL fixation,2 - 200,Peri,2X,8,4,CV,positive_QTL,DV,0.500897485913143,0.0057683467791485,Inf,86.8355362621045,0
QTL fixation,2 - 200,WT,2X,8,4,CV,positive_QTL,DV,0.490351232821744,0.00576834677914855,Inf,85.0072389188299,0
QTL fixation,2 - 200,Chr,20X,2,5,CV,positive_QTL,DV,0.304867549673929,0.00576834677914868,Inf,52.8518068254771,0
QTL fixation,2 - 200,Peri,20X,2,5,CV,positive_QTL,DV,0.310794094023156,0.00576834677914853,Inf,53.8792319398372,0
QTL fixation,2 - 200,WT,20X,2,5,CV,positive_QTL,DV,0.279400996361332,0.00576834677914854,Inf,48.4369277816847,0
QTL fixation,2 - 200,Chr,2X,2,5,CV,positive_QTL,DV,0.288319689757986,0.00576834677914856,Inf,49.9830715449018,0
QTL fixation,2 - 200,Peri,2X,2,5,CV,positive_QTL,DV,0.278704701003208,0.00576834677914853,Inf,48.3162180905406,0
QTL fixation,2 - 200,WT,2X,2,5,CV,positive_QTL,DV,0.285490008490969,0.00576834677914852,Inf,49.492518293623,0
QTL fixation,2 - 200,Chr,20X,8,5,CV,positive_QTL,DV,0.327856753044795,0.00576834677914856,Inf,56.8372127400406,0
QTL fixation,2 - 200,Peri,20X,8,5,CV,positive_QTL,DV,0.328949558625086,0.00576834677914852,Inf,57.0266614022194,0
QTL fixation,2 - 200,WT,20X,8,5,CV,positive_QTL,DV,0.298386549516545,0.00576834677914845,Inf,51.7282613096632,0
QTL fixation,2 - 200,Chr,2X,8,5,CV,positive_QTL,DV,0.300243005454172,0.00576834677914851,Inf,52.0500963186704,0
QTL fixation,2 - 200,Peri,2X,8,5,CV,positive_QTL,DV,0.318238304274416,0.00576834677914856,Inf,55.1697594577333,0
QTL fixation,2 - 200,WT,2X,8,5,CV,positive_QTL,DV,0.303674819511843,0.00576834677914833,Inf,52.6450352481546,0
QTL fixation,2 - 200,Chr,20X,2,1,GW,positive_QTL,DV,0.125453573112339,0.00576834677914851,Inf,21.748618437059,7.11914846814535e-105
QTL fixation,2 - 200,Peri,20X,2,1,GW,positive_QTL,DV,0.133062926067059,0.00576834677914847,Inf,23.0677750769176,9.75538047783911e-118
QTL fixation,2 - 200,WT,20X,2,1,GW,positive_QTL,DV,0.127846741207858,0.00576834677914854,Inf,22.1634978101524,7.73065824474398e-109
