response,contrast,Matrix,Recombination,Map_type,QTL,H2,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,1 - 3,CV,20X,Chr,200,2,negative_QTL,DV,-0.334378091597797,0.00576834677914874,Inf,-57.9677513159399,0
QTL fixation,1 - 4,CV,20X,Chr,200,2,negative_QTL,DV,-0.342049848715929,0.0057683467791487,Inf,-59.2977263351025,0
QTL fixation,1 - 5,CV,20X,Chr,200,2,negative_QTL,DV,-0.36118578261023,0.00576834677914857,Inf,-62.6151298524294,0
QTL fixation,2 - 3,CV,20X,Chr,200,2,negative_QTL,DV,-0.0788387043156253,0.0057683467791485,Inf,-13.6674696120234,0
QTL fixation,2 - 4,CV,20X,Chr,200,2,negative_QTL,DV,-0.0865104614337579,0.00576834677914849,Inf,-14.9974446311857,0
QTL fixation,2 - 5,CV,20X,Chr,200,2,negative_QTL,DV,-0.105646395328059,0.00576834677914849,Inf,-18.3148481485113,0
QTL fixation,3 - 5,CV,20X,Chr,200,2,negative_QTL,DV,-0.0268076910124333,0.00576834677914856,Inf,-4.64737853648775,3.30925897450429e-05
QTL fixation,4 - 5,CV,20X,Chr,200,2,negative_QTL,DV,-0.0191359338943008,0.00576834677914855,Inf,-3.31740351732553,0.00808434004225056
QTL fixation,1 - 2,GW,20X,Chr,200,2,negative_QTL,DV,-0.257143358711133,0.00576834677914852,Inf,-44.5783460246629,0
QTL fixation,1 - 3,GW,20X,Chr,200,2,negative_QTL,DV,-0.347294948733222,0.00576834677914859,Inf,-60.2070163306796,0
QTL fixation,1 - 4,GW,20X,Chr,200,2,negative_QTL,DV,-0.347152616215207,0.00576834677914856,Inf,-60.1823415801032,0
QTL fixation,1 - 5,GW,20X,Chr,200,2,negative_QTL,DV,-0.378787922805805,0.00576834677914856,Inf,-65.6666350530535,0
QTL fixation,2 - 3,GW,20X,Chr,200,2,negative_QTL,DV,-0.0901515900220896,0.00576834677914854,Inf,-15.6286703060173,0
QTL fixation,2 - 4,GW,20X,Chr,200,2,negative_QTL,DV,-0.0900092575040742,0.00576834677914852,Inf,-15.6039955554407,0
QTL fixation,2 - 5,GW,20X,Chr,200,2,negative_QTL,DV,-0.121644564094672,0.0057683467791485,Inf,-21.0882890283911,0
QTL fixation,3 - 5,GW,20X,Chr,200,2,negative_QTL,DV,-0.0314929740725828,0.00576834677914856,Inf,-5.45961872237358,4.75464963511918e-07
QTL fixation,4 - 5,GW,20X,Chr,200,2,negative_QTL,DV,-0.0316353065905983,0.00576834677914853,Inf,-5.48429347295032,4.13721686465252e-07
QTL fixation,1 - 2,CV,2X,Chr,200,2,negative_QTL,DV,-0.259402166225788,0.00576834677914851,Inf,-44.9699326613784,0
QTL fixation,1 - 3,CV,2X,Chr,200,2,negative_QTL,DV,-0.348192702662482,0.00576834677914862,Inf,-60.3626508588435,0
QTL fixation,1 - 4,CV,2X,Chr,200,2,negative_QTL,DV,-0.355704013265394,0.00576834677914865,Inf,-61.6648108867498,0
QTL fixation,1 - 5,CV,2X,Chr,200,2,negative_QTL,DV,-0.373663038878769,0.00576834677914853,Inf,-64.7781857064298,0
QTL fixation,2 - 3,CV,2X,Chr,200,2,negative_QTL,DV,-0.0887905364366945,0.00576834677914851,Inf,-15.3927181974661,0
QTL fixation,2 - 4,CV,2X,Chr,200,2,negative_QTL,DV,-0.0963018470396062,0.00576834677914852,Inf,-16.6948782253729,0
QTL fixation,2 - 5,CV,2X,Chr,200,2,negative_QTL,DV,-0.114260872652981,0.00576834677914846,Inf,-19.8082530450517,0
QTL fixation,3 - 5,CV,2X,Chr,200,2,negative_QTL,DV,-0.025470336216287,0.00576834677914851,Inf,-4.41553484758536,9.84503437574391e-05
QTL fixation,4 - 5,CV,2X,Chr,200,2,negative_QTL,DV,-0.0179590256133753,0.00576834677914851,Inf,-3.11337481967863,0.0158877566793281
QTL fixation,1 - 2,GW,2X,Chr,200,2,negative_QTL,DV,-0.257137038672309,0.00576834677914852,Inf,-44.5772503833873,0
QTL fixation,1 - 3,GW,2X,Chr,200,2,negative_QTL,DV,-0.342750904187126,0.00576834677914862,Inf,-59.4192612389567,0
QTL fixation,1 - 4,GW,2X,Chr,200,2,negative_QTL,DV,-0.343908066675971,0.00576834677914853,Inf,-59.6198668081353,0
QTL fixation,1 - 5,GW,2X,Chr,200,2,negative_QTL,DV,-0.370035027497576,0.00576834677914853,Inf,-64.1492340292684,0
QTL fixation,2 - 3,GW,2X,Chr,200,2,negative_QTL,DV,-0.0856138655148171,0.00576834677914857,Inf,-14.8420108555703,0
QTL fixation,2 - 4,GW,2X,Chr,200,2,negative_QTL,DV,-0.0867710280036621,0.00576834677914848,Inf,-15.0426164247482,0
QTL fixation,2 - 5,GW,2X,Chr,200,2,negative_QTL,DV,-0.112897988825267,0.00576834677914846,Inf,-19.5719836458815,0
QTL fixation,3 - 5,GW,2X,Chr,200,2,negative_QTL,DV,-0.0272841233104496,0.00576834677914854,Inf,-4.72997279031081,2.21501548107739e-05
