response,contrast,Recombination,Map_type,QTL,H2,Repulsion,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,CV - GW,2X,Peri,2,2,2,negative_QTL,R,-0.0266666666666858,0.00541011292048735,Inf,-4.92904067966914,8.26343688199991e-07
QTL fixation,CV - GW,20X,WT,2,2,2,negative_QTL,R,-0.0226190476188224,0.00541011292048732,Inf,-4.18088271931761,2.90379616697046e-05
QTL fixation,CV - GW,2X,WT,2,2,2,negative_QTL,R,-0.0116666666667042,0.00541011292048728,Inf,-2.15645529736067,0.0310481307790268
QTL fixation,CV - GW,20X,Chr,2,8,2,negative_QTL,R,-0.0171428571426827,0.00541011292048733,Inf,-3.16866900832424,0.00153138684350654
QTL fixation,CV - GW,2X,Chr,2,8,2,negative_QTL,R,-0.0207142857143566,0.00541011292048733,Inf,-3.82880838511051,0.000128765209918314
QTL fixation,CV - GW,20X,Peri,2,8,2,negative_QTL,R,-0.0278571428571546,0.00541011292048736,Inf,-5.14908713858142,2.61757262605738e-07
QTL fixation,CV - GW,2X,Peri,2,8,2,negative_QTL,R,-0.0183333333333356,0.00541011292048742,Inf,-3.38871546727048,0.000702208347442159
QTL fixation,CV - GW,20X,WT,2,8,2,negative_QTL,R,-0.0261904761904728,0.00541011292048732,Inf,-4.84102209609956,1.2917300694142e-06
QTL fixation,CV - GW,2X,WT,2,8,2,negative_QTL,R,-0.026428571428572,0.00541011292048728,Inf,-4.88503138788305,1.03412378442611e-06
QTL fixation,CV - GW,20X,Chr,200,8,2,negative_QTL,R,-0.0155950960065278,0.00541011292048735,Inf,-2.88258234822999,0.00394430024143619
QTL fixation,CV - GW,20X,Chr,2,2,3,negative_QTL,R,-0.0561904761916301,0.00541011292048755,Inf,-10.3861928609369,2.86564381088458e-25
QTL fixation,CV - GW,2X,Chr,2,2,3,negative_QTL,R,-0.0392857142854648,0.00541011292048729,Inf,-7.2615331441042,3.82727193039833e-13
QTL fixation,CV - GW,20X,Peri,2,2,3,negative_QTL,R,-0.0569047619047571,0.00541011292048736,Inf,-10.5182207360712,7.12055072009505e-26
QTL fixation,CV - GW,2X,Peri,2,2,3,negative_QTL,R,-0.0376190476190108,0.00541011292048727,Inf,-6.95346810166443,3.56413570440038e-12
QTL fixation,CV - GW,20X,WT,2,2,3,negative_QTL,R,-0.0383333333332857,0.00541011292048736,Inf,-7.0854959770105,1.38547195008804e-12
QTL fixation,CV - GW,2X,WT,2,2,3,negative_QTL,R,-0.0464285714285331,0.00541011292048732,Inf,-8.58181189762505,9.33902681366784e-18
QTL fixation,CV - GW,20X,Chr,200,2,3,negative_QTL,R,-0.0118944004523121,0.00541011292048734,Inf,-2.19854938836298,0.0279099791062474
QTL fixation,CV - GW,20X,Chr,2,8,3,negative_QTL,R,-0.0311904761901306,0.00541011292048731,Inf,-5.76521722347362,8.15527328117021e-09
QTL fixation,CV - GW,2X,Chr,2,8,3,negative_QTL,R,-0.0283333333334398,0.00541011292048736,Inf,-5.23710572216437,1.63114266432794e-07
QTL fixation,CV - GW,20X,Peri,2,8,3,negative_QTL,R,-0.0392857142857167,0.00541011292048737,Inf,-7.26153314415064,3.82727192908384e-13
QTL fixation,CV - GW,2X,Peri,2,8,3,negative_QTL,R,-0.0497619047619057,0.00541011292048731,Inf,-9.19794198259053,3.64870688700988e-20
QTL fixation,CV - GW,20X,WT,2,8,3,negative_QTL,R,-0.0366666666666722,0.00541011292048735,Inf,-6.77743093454123,1.22331597651649e-11
QTL fixation,CV - GW,2X,WT,2,8,3,negative_QTL,R,-0.0200000000000025,0.00541011292048727,Inf,-3.69678050974972,0.000218350969665565
QTL fixation,CV - GW,20X,Chr,200,8,3,negative_QTL,R,-0.0197774724632763,0.00541011292048736,Inf,-3.65564873671707,0.000256532419380077
QTL fixation,CV - GW,2X,Chr,200,8,3,negative_QTL,R,-0.012073669951983,0.00541011292048735,Inf,-2.23168538798177,0.0256357636602058
QTL fixation,CV - GW,20X,Peri,200,8,3,negative_QTL,R,-0.0139587808114051,0.0054101129204875,Inf,-2.58012744217311,0.00987638596656027
QTL fixation,CV - GW,20X,Chr,2,2,4,negative_QTL,R,-0.0361904761901639,0.00541011292048715,Inf,-6.68941235091729,2.24068539324197e-11
QTL fixation,CV - GW,2X,Chr,2,2,4,negative_QTL,R,-0.0426190476191013,0.00541011292048733,Inf,-7.87766322911839,3.33560286750971e-15
QTL fixation,CV - GW,20X,Peri,2,2,4,negative_QTL,R,-0.023809523809408,0.00541011292048728,Inf,-4.40092917825151,1.07788304417398e-05
QTL fixation,CV - GW,2X,Peri,2,2,4,negative_QTL,R,-0.033809523809535,0.00541011292048734,Inf,-6.24931943314955,4.12245026261026e-10
QTL fixation,CV - GW,20X,WT,2,2,4,negative_QTL,R,-0.0264285714285037,0.00541011292048731,Inf,-4.8850313878704,1.03412378449247e-06
QTL fixation,CV - GW,2X,WT,2,2,4,negative_QTL,R,-0.0376190476190702,0.00541011292048731,Inf,-6.95346810167535,3.56413570412418e-12
QTL fixation,CV - GW,20X,Chr,2,8,4,negative_QTL,R,-0.0285714285713372,0.00541011292048728,Inf,-5.28111501391062,1.28400051185305e-07
QTL fixation,CV - GW,2X,Chr,2,8,4,negative_QTL,R,-0.0323809523807638,0.00541011292048733,Inf,-5.98526368241627,2.1603958132401e-09
